1       100	 6.01406e-01	 1.09673e+00	-1.01823e-04
2       100	 6.98866e-01	 1.18226e+00	-4.05177e-04
3       100	 7.88388e-01	 1.25570e+00	-9.03745e-04
4       100	 8.66295e-01	 1.31628e+00	-1.58711e-03
5       100	 9.29383e-01	 1.36336e+00	-2.44092e-03
6       100	 9.75048e-01	 1.39645e+00	-3.44709e-03
7       100	 1.00140e+00	 1.41520e+00	-4.58414e-03
8       100	 1.00733e+00	 1.41938e+00	-5.82746e-03
9       100	 9.92590e-01	 1.40895e+00	-7.14976e-03
10       100	 9.57750e-01	 1.38399e+00	-8.52145e-03
11       100	 1.04771e-01	 4.57411e-01	-1.78397e-02
12       100	 4.17001e-01	-9.13234e-01	-2.43206e-03
13       100	 1.02265e+00	-1.42977e+00	 3.23077e-02
14       100	 1.75931e-01	-5.91371e-01	 4.62891e-02
15       100	 3.35366e-01	 8.18926e-01	 9.54138e-03
16       100	 1.07204e+00	 1.46330e+00	-5.32574e-02
17       100	 2.60394e-01	 7.17619e-01	-7.62332e-02
18       100	 2.60905e-01	-7.22066e-01	-2.07793e-02
19       100	 1.10627e+00	-1.48575e+00	 7.14364e-02
