         0	 5.00000e-01	 1.00000e-03	 1.00000e+00
        20	 5.00000e-01	 1.09998e-02	 9.99940e-01
        40	 5.00000e-01	 2.09985e-02	 9.99780e-01
        60	 5.00000e-01	 3.09950e-02	 9.99520e-01
        80	 5.00000e-01	 4.09885e-02	 9.99160e-01
       100	 5.00000e-01	 5.09779e-02	 9.98700e-01
       120	 5.00000e-01	 6.09622e-02	 9.98140e-01
       140	 5.00000e-01	 7.09404e-02	 9.97481e-01
       160	 5.00000e-01	 8.09115e-02	 9.96721e-01
       180	 5.00000e-01	 9.08745e-02	 9.95862e-01
       200	 5.00000e-01	 1.00828e-01	 9.94904e-01
       220	 5.00000e-01	 1.10772e-01	 9.93846e-01
       240	 5.00000e-01	 1.20705e-01	 9.92688e-01
       260	 5.00000e-01	 1.30626e-01	 9.91432e-01
       280	 5.00000e-01	 1.40533e-01	 9.90076e-01
       300	 5.00000e-01	 1.50427e-01	 9.88621e-01
       320	 5.00000e-01	 1.60305e-01	 9.87067e-01
       340	 5.00000e-01	 1.70168e-01	 9.85415e-01
       360	 5.00000e-01	 1.80013e-01	 9.83664e-01
       380	 5.00000e-01	 1.89841e-01	 9.81815e-01
       400	 5.00000e-01	 1.99649e-01	 9.79867e-01
       420	 5.00000e-01	 2.09438e-01	 9.77822e-01
       440	 5.00000e-01	 2.19205e-01	 9.75679e-01
       460	 5.00000e-01	 2.28951e-01	 9.73438e-01
       480	 5.00000e-01	 2.38674e-01	 9.71100e-01
       500	 5.00000e-01	 2.48373e-01	 9.68665e-01
       520	 5.00000e-01	 2.58047e-01	 9.66132e-01
       540	 5.00000e-01	 2.67695e-01	 9.63504e-01
       560	 5.00000e-01	 2.77317e-01	 9.60779e-01
       580	 5.00000e-01	 2.86910e-01	 9.57957e-01
       600	 5.00000e-01	 2.96475e-01	 9.55040e-01
       620	 5.00000e-01	 3.06011e-01	 9.52028e-01
       640	 5.00000e-01	 3.15516e-01	 9.48920e-01
       660	 5.00000e-01	 3.24989e-01	 9.45718e-01
       680	 5.00000e-01	 3.34430e-01	 9.42421e-01
       700	 5.00000e-01	 3.43837e-01	 9.39029e-01
       720	 5.00000e-01	 3.53210e-01	 9.35544e-01
       740	 5.00000e-01	 3.62548e-01	 9.31965e-01
       760	 5.00000e-01	 3.71849e-01	 9.28293e-01
       780	 5.00000e-01	 3.81113e-01	 9.24528e-01
       800	 5.00000e-01	 3.90339e-01	 9.20671e-01
       820	 5.00000e-01	 3.99526e-01	 9.16722e-01
       840	 5.00000e-01	 4.08673e-01	 9.12681e-01
       860	 5.00000e-01	 4.17780e-01	 9.08548e-01
       880	 5.00000e-01	 4.26844e-01	 9.04325e-01
       900	 5.00000e-01	 4.35866e-01	 9.00012e-01
       920	 5.00000e-01	 4.44844e-01	 8.95608e-01
       940	 5.00000e-01	 4.53778e-01	 8.91115e-01
       960	 5.00000e-01	 4.62666e-01	 8.86533e-01
       980	 5.00000e-01	 4.71508e-01	 8.81862e-01
      1000	 5.00000e-01	 4.80303e-01	 8.77103e-01
      1020	 5.00000e-01	 4.89050e-01	 8.72256e-01
      1040	 5.00000e-01	 4.97748e-01	 8.67322e-01
      1060	 5.00000e-01	 5.06396e-01	 8.62301e-01
      1080	 5.00000e-01	 5.14993e-01	 8.57194e-01
      1100	 5.00000e-01	 5.23540e-01	 8.52001e-01
      1120	 5.00000e-01	 5.32033e-01	 8.46723e-01
      1140	 5.00000e-01	 5.40474e-01	 8.41361e-01
      1160	 5.00000e-01	 5.48860e-01	 8.35914e-01
      1180	 5.00000e-01	 5.57192e-01	 8.30384e-01
      1200	 5.00000e-01	 5.65468e-01	 8.24771e-01
      1220	 5.00000e-01	 5.73687e-01	 8.19075e-01
      1240	 5.00000e-01	 5.81849e-01	 8.13297e-01
      1260	 5.00000e-01	 5.89953e-01	 8.07438e-01
      1280	 5.00000e-01	 5.97997e-01	 8.01498e-01
      1300	 5.00000e-01	 6.05982e-01	 7.95478e-01
      1320	 5.00000e-01	 6.13907e-01	 7.89379e-01
      1340	 5.00000e-01	 6.21770e-01	 7.83200e-01
      1360	 5.00000e-01	 6.29570e-01	 7.76944e-01
      1380	 5.00000e-01	 6.37308e-01	 7.70609e-01
      1400	 5.00000e-01	 6.44982e-01	 7.64198e-01
      1420	 5.00000e-01	 6.52592e-01	 7.57710e-01
      1440	 5.00000e-01	 6.60136e-01	 7.51146e-01
      1460	 5.00000e-01	 6.67614e-01	 7.44507e-01
      1480	 5.00000e-01	 6.75026e-01	 7.37794e-01
      1500	 5.00000e-01	 6.82370e-01	 7.31007e-01
      1520	 5.00000e-01	 6.89646e-01	 7.24147e-01
      1540	 5.00000e-01	 6.96853e-01	 7.17214e-01
      1560	 5.00000e-01	 7.03990e-01	 7.10210e-01
      1580	 5.00000e-01	 7.11057e-01	 7.03135e-01
      1600	 5.00000e-01	 7.18052e-01	 6.95989e-01
      1620	 5.00000e-01	 7.24976e-01	 6.88774e-01
      1640	 5.00000e-01	 7.31828e-01	 6.81490e-01
      1660	 5.00000e-01	 7.38606e-01	 6.74137e-01
      1680	 5.00000e-01	 7.45310e-01	 6.66718e-01
      1700	 5.00000e-01	 7.51940e-01	 6.59232e-01
      1720	 5.00000e-01	 7.58495e-01	 6.51679e-01
      1740	 5.00000e-01	 7.64973e-01	 6.44062e-01
      1760	 5.00000e-01	 7.71376e-01	 6.36380e-01
      1780	 5.00000e-01	 7.77701e-01	 6.28635e-01
      1800	 5.00000e-01	 7.83948e-01	 6.20826e-01
