         0	 5.00000e-01	 4.99792e-02	 9.98750e-01
         0	 1.80937e+02	-9.00167e-01	-1.90017e+01
         1	 1.81836e+02	-1.84806e+00	-1.89804e+01
         2	 1.82722e+02	-2.79134e+00	-1.89117e+01
         3	 1.83587e+02	-3.72763e+00	-1.87957e+01
         4	 1.84422e+02	-4.65461e+00	-1.86327e+01
         5	 1.85219e+02	-5.56995e+00	-1.84232e+01
         6	 1.85970e+02	-6.47137e+00	-1.81676e+01
         7	 1.86667e+02	-7.35661e+00	-1.78665e+01
         8	 1.87303e+02	-8.22345e+00	-1.75208e+01
         9	 1.87872e+02	-9.06974e+00	-1.71313e+01
        10	 1.88368e+02	-9.89336e+00	-1.66990e+01
        11	 1.88786e+02	-1.06922e+01	-1.62249e+01
        12	 1.89123e+02	-1.14644e+01	-1.57103e+01
        13	 1.89374e+02	-1.22079e+01	-1.51564e+01
        14	 1.89537e+02	-1.29208e+01	-1.45646e+01
        15	 1.89612e+02	-1.36015e+01	-1.39364e+01
        16	 1.89595e+02	-1.42482e+01	-1.32733e+01
        17	 1.89489e+02	-1.48592e+01	-1.25771e+01
        18	 1.89294e+02	-1.54331e+01	-1.18494e+01
        19	 1.89012e+02	-1.59684e+01	-1.10921e+01
        20	 1.88646e+02	-1.64638e+01	-1.03070e+01
