       100	 3.70341e-01	 5.55511e-01	-6.67979e+00	-6.12428e+00	-3.62753e+00
       200	 3.74427e-01	 5.61641e-01	-6.68599e+00	-6.12435e+00	-3.65185e+00
       300	 3.77898e-01	 5.66847e-01	-6.69102e+00	-6.12417e+00	-3.68711e+00
       400	 3.68897e-01	 5.53345e-01	-6.67826e+00	-6.12491e+00	-3.66342e+00
       500	 3.68490e-01	 5.52736e-01	-6.67425e+00	-6.12152e+00	-3.58553e+00
       600	 3.79545e-01	 5.69318e-01	-6.69090e+00	-6.12158e+00	-3.75969e+00
       700	 3.81232e-01	 5.71849e-01	-6.69328e+00	-6.12143e+00	-3.69965e+00
       800	 3.80041e-01	 5.70061e-01	-6.68941e+00	-6.11935e+00	-3.69007e+00
       900	 3.75926e-01	 5.63889e-01	-6.68353e+00	-6.11964e+00	-3.72086e+00
      1000	 3.82641e-01	 5.73961e-01	-6.69247e+00	-6.11851e+00	-3.71162e+00
      1100	 3.68364e-01	 5.52545e-01	-6.66904e+00	-6.11649e+00	-3.55480e+00
      1200	 3.87245e-01	 5.80867e-01	-6.69611e+00	-6.11525e+00	-3.75588e+00
      1300	 3.85584e-01	 5.78376e-01	-6.69637e+00	-6.11799e+00	-3.76140e+00
      1400	 3.87634e-01	 5.81451e-01	-6.69771e+00	-6.11626e+00	-3.73448e+00
      1500	 3.83836e-01	 5.75753e-01	-6.69073e+00	-6.11498e+00	-3.73678e+00
      1600	 3.88937e-01	 5.83406e-01	-6.70005e+00	-6.11664e+00	-3.75411e+00
      1700	 3.82041e-01	 5.73062e-01	-6.68809e+00	-6.11503e+00	-3.64390e+00
      1800	 3.79826e-01	 5.69739e-01	-6.68503e+00	-6.11529e+00	-3.69628e+00
      1900	 3.82606e-01	 5.73908e-01	-6.68916e+00	-6.11525e+00	-3.72848e+00
      2000	 3.73954e-01	 5.60931e-01	-6.67836e+00	-6.11742e+00	-3.61905e+00
      2100	 3.88611e-01	 5.82916e-01	-6.70147e+00	-6.11856e+00	-3.75114e+00
      2200	 3.81538e-01	 5.72307e-01	-6.68917e+00	-6.11686e+00	-3.67284e+00
      2300	 3.70623e-01	 5.55934e-01	-6.67210e+00	-6.11616e+00	-3.58832e+00
      2400	 3.82464e-01	 5.73696e-01	-6.69033e+00	-6.11663e+00	-3.70619e+00
      2500	 3.98941e-01	 5.98411e-01	-6.71435e+00	-6.11593e+00	-3.77036e+00
      2600	 3.90633e-01	 5.85949e-01	-6.70225e+00	-6.11630e+00	-3.77426e+00
      2700	 3.97249e-01	 5.95874e-01	-6.70946e+00	-6.11359e+00	-3.77157e+00
      2800	 3.76421e-01	 5.64632e-01	-6.67844e+00	-6.11381e+00	-3.57099e+00
      2900	 3.81786e-01	 5.72678e-01	-6.68573e+00	-6.11305e+00	-3.63945e+00
      3000	 3.89821e-01	 5.84732e-01	-6.69649e+00	-6.11176e+00	-3.73612e+00
      3100	 3.62727e-01	 5.44090e-01	-6.65334e+00	-6.10925e+00	-3.51515e+00
      3200	 3.78192e-01	 5.67288e-01	-6.67711e+00	-6.10983e+00	-3.58718e+00
      3300	 3.70821e-01	 5.56231e-01	-6.66329e+00	-6.10706e+00	-3.59066e+00
      3400	 3.74033e-01	 5.61049e-01	-6.66768e+00	-6.10663e+00	-3.60696e+00
      3500	 3.66808e-01	 5.50212e-01	-6.65492e+00	-6.10471e+00	-3.55426e+00
      3600	 3.78420e-01	 5.67631e-01	-6.67307e+00	-6.10544e+00	-3.60779e+00
      3700	 3.93381e-01	 5.90072e-01	-6.69570e+00	-6.10563e+00	-3.71864e+00
      3800	 3.73867e-01	 5.60801e-01	-6.66227e+00	-6.10147e+00	-3.53234e+00
      3900	 3.96557e-01	 5.94835e-01	-6.69674e+00	-6.10191e+00	-3.72362e+00
      4000	 3.85317e-01	 5.77975e-01	-6.67799e+00	-6.10002e+00	-3.63585e+00
      4100	 3.92143e-01	 5.88215e-01	-6.68345e+00	-6.09524e+00	-3.71260e+00
      4200	 3.90470e-01	 5.85705e-01	-6.67873e+00	-6.09302e+00	-3.64771e+00
      4300	 3.75126e-01	 5.62689e-01	-6.65406e+00	-6.09137e+00	-3.47683e+00
      4400	 3.90838e-01	 5.86257e-01	-6.67582e+00	-6.08957e+00	-3.61189e+00
      4500	 4.20237e-01	 6.30355e-01	-6.72254e+00	-6.09218e+00	-3.82271e+00
      4600	 3.91162e-01	 5.86743e-01	-6.67391e+00	-6.08717e+00	-3.58489e+00
      4700	 3.97106e-01	 5.95659e-01	-6.68308e+00	-6.08742e+00	-3.62507e+00
      4800	 3.94544e-01	 5.91816e-01	-6.67548e+00	-6.08366e+00	-3.62139e+00
      4900	 3.83479e-01	 5.75218e-01	-6.66020e+00	-6.08498e+00	-3.53189e+00
      5000	 3.91173e-01	 5.86760e-01	-6.66772e+00	-6.08096e+00	-3.58572e+00
