0 	0 	0
0 	0 	0
0 	0 	0
0 	0 	0
0 	0 	0
0 	0 	0
0 	0 	0
0 	0 	0
0 	0 	0
0 	0 	0
0 	0 	0
0 	0 	0
0 	0 	0
0 	0 	0
0 	0 	0
0 	0 	0
0 	0 	0
0 	0 	0
0 	0 	0
0 	0 	0
0 	0 	0
0 	0 	0
0 	0 	0
0 	0 	0
0 	0 	0
0 	0 	0
0 	0 	0
0 	0 	0
0 	0 	0
0 	0 	0
0 	0 	0
0 	0 	0
0 	0 	0
0 	0 	0
0 	0 	0
0 	0 	0
0 	0 	0
0 	0 	0
0 	0 	0
0 	0 	4
0 	0 	21
0 	0 	127
0 	0 	451
0 	0 	1223
0 	0 	2547
0 	0 	4052
0 	0 	6116
0 	0 	8314
0 	0 	10430
0 	0 	12654
0 	21 	14808
0 	39 	16755
0 	160 	18467
0 	407 	20059
0 	1003 	21832
0 	1938 	22875
0 	3373 	24313
0 	5210 	25733
0 	7349 	26809
0 	9730 	28084
0 	12737 	29412
0 	15088 	30501
1 	17875 	31835
5 	20760 	33258
33 	23463 	34601
79 	25781 	35985
197 	27784 	37318
403 	29692 	38887
757 	31100 	40445
1351 	32222 	42397
2096 	33314 	44302
2821 	33707 	46606
3838 	34223 	48618
4772 	34462 	51539
5687 	35478 	54604
6638 	35255 	58048
7734 	35647 	62363
8312 	36012 	66822
8951 	36564 	70955
9267 	36918 	75972
9522 	37114 	80255
9908 	37617 	84106
9914 	38621 	86823
9917 	39190 	89126
9724 	39674 	91132
9329 	41436 	92214
9495 	42781 	93206
8988 	44487 	93789
8491 	45697 	93873
8095 	48626 	93916
7911 	50585 	95056
7544 	52884 	94786
7468 	55306 	94638
6994 	56897 	94780
6795 	58666 	95890
6539 	59326 	95923
6072 	60324 	96486
6147 	60084 	97241
5718 	60141 	98214
5855 	59572 	98543
5773 	58936 	99975
5547 	57998 	101505
5498 	56914 	102345
5277 	56104 	104629
5170 	55292 	105945
5161 	54394 	107563
5201 	53707 	109412
5088 	52959 	111944
5213 	52133 	113478
5095 	52237 	116145
5269 	51867 	118872
5182 	51813 	121155
5372 	52119 	122306
5362 	52380 	124831
5427 	52416 	125985
5521 	53536 	127066
