	        10	 5.38955e-01	 7.14286e-01	-6.48019e+00	 5.70007e+02	 8.77181e-01
	        20	 5.13335e-01	 5.38462e-01	-6.86035e+00	 5.43409e+02	 9.20117e-01
	        30	 4.96491e-01	 2.30769e-01	-7.06275e+00	 5.31156e+02	 9.41342e-01
	        40	 5.08019e-01	 5.00000e-01	-7.04628e+00	 5.29876e+02	 9.43617e-01
	        50	 4.79559e-01	 6.00000e-01	-7.05860e+00	 5.31206e+02	 9.41254e-01
	        60	 4.87174e-01	 3.00000e-01	-7.15675e+00	 5.26985e+02	 9.48793e-01
	        70	 4.84964e-01	 3.33333e-01	-7.13702e+00	 5.24059e+02	 9.54091e-01
	        80	 4.83250e-01	 2.66667e-01	-7.16927e+00	 5.25417e+02	 9.51626e-01
	        90	 4.87380e-01	 3.75000e-01	-7.10870e+00	 5.26486e+02	 9.49693e-01
	       100	 4.76658e-01	 2.22222e-01	-7.18310e+00	 5.23703e+02	 9.54740e-01
	       110	 4.96194e-01	 2.50000e-01	-7.14814e+00	 5.22198e+02	 9.57491e-01
	       120	 4.95795e-01	 3.33333e-01	-7.16389e+00	 5.25864e+02	 9.50817e-01
	       130	 4.85875e-01	 6.66667e-01	-7.21064e+00	 5.23781e+02	 9.54597e-01
	       140	 4.86470e-01	 4.54545e-01	-7.13378e+00	 5.25606e+02	 9.51282e-01
	       150	 4.77555e-01	 6.00000e-01	-7.18278e+00	 5.24849e+02	 9.52655e-01
	       160	 4.82282e-01	 6.00000e-01	-7.23250e+00	 5.20387e+02	 9.60822e-01
	       170	 4.95687e-01	 4.00000e-01	-7.15741e+00	 5.27601e+02	 9.47685e-01
	       180	 4.77564e-01	 6.25000e-01	-7.08821e+00	 5.26922e+02	 9.48907e-01
	       190	 4.93288e-01	 3.33333e-01	-7.13566e+00	 5.23451e+02	 9.55199e-01
	       200	 4.74022e-01	 4.66667e-01	-7.10478e+00	 5.26589e+02	 9.49507e-01
	       210	 4.92083e-01	 4.54545e-01	-7.12546e+00	 5.29068e+02	 9.45058e-01
	       220	 4.82164e-01	 2.00000e-01	-7.10772e+00	 5.29048e+02	 9.45094e-01
	       230	 4.86275e-01	 2.22222e-01	-7.20459e+00	 5.24765e+02	 9.52808e-01
	       240	 4.77764e-01	 1.25000e-01	-7.16985e+00	 5.23848e+02	 9.54476e-01
	       250	 4.80152e-01	 6.66667e-01	-7.10815e+00	 5.22769e+02	 9.56445e-01
	       260	 4.92893e-01	 4.00000e-01	-7.13084e+00	 5.25023e+02	 9.52340e-01
	       270	 4.87580e-01	 2.50000e-01	-7.20445e+00	 5.19935e+02	 9.61659e-01
	       280	 4.97796e-01	 1.25000e-01	-7.12392e+00	 5.27012e+02	 9.48746e-01
	       290	 4.78749e-01	 3.33333e-01	-7.21753e+00	 5.20771e+02	 9.60116e-01
	       300	 4.76257e-01	 5.55556e-01	-7.08918e+00	 5.25171e+02	 9.52071e-01
