r	Paircorrelationfunction g(r)
 0.00000	    -nan
<<<<<<< HEAD
<<<<<<< HEAD
 0.02000	 0.00000
 0.04000	 0.00000
 0.06000	 0.00000
 0.08000	 0.00000
 0.10000	 0.00000
 0.12000	 0.00000
 0.14000	 0.00000
 0.16000	 0.00000
 0.18000	 0.00000
 0.20000	 0.00000
 0.22000	 0.00000
 0.24000	 0.00000
 0.26000	 0.00000
 0.28000	 0.00000
 0.30000	 0.00000
 0.32000	 0.00000
 0.34000	 0.00000
 0.36000	 0.00000
 0.38000	 0.00000
 0.40000	 0.00000
 0.42000	 0.00000
 0.44000	 0.00000
 0.46000	 0.00000
 0.48000	 0.00000
 0.50000	 0.00000
 0.52000	 0.00000
 0.54000	 0.00000
 0.56000	 0.00000
 0.58000	 0.00000
 0.60000	 0.00000
 0.62000	 0.00000
 0.64000	 0.00000
 0.66000	 0.00000
 0.68000	 0.00000
 0.70000	 0.00000
 0.72000	 0.00000
 0.74000	 0.00000
 0.76000	 0.00000
 0.78000	 0.00000
 0.80000	 0.00000
 0.82000	 0.00000
 0.84000	 0.00000
 0.86000	 0.00420
 0.88000	 0.03211
 0.90000	 0.09594
 0.92000	 0.17629
 0.94000	 0.43975
 0.96000	 0.64760
 0.98000	 0.99689
 1.00000	 1.11906
 1.02000	 1.19810
 1.04000	 1.56057
 1.06000	 1.65440
 1.08000	 1.64699
 1.10000	 1.67499
 1.12000	 1.54384
 1.14000	 1.71498
 1.16000	 1.52468
 1.18000	 1.42878
 1.20000	 1.55425
 1.22000	 1.43479
 1.24000	 1.38888
 1.26000	 1.38038
 1.28000	 1.37363
 1.30000	 1.32801
 1.32000	 1.26666
 1.34000	 1.26722
 1.36000	 1.17812
 1.38000	 1.28786
 1.40000	 1.25926
 1.42000	 1.19783
 1.44000	 1.17678
 1.46000	 1.16809
 1.48000	 1.13248
 1.50000	 1.10110
 1.52000	 1.07769
 1.54000	 1.09052
 1.56000	 1.06146
 1.58000	 1.03102
 1.60000	 1.04790
 1.62000	 1.06128
 1.64000	 0.97314
 1.66000	 1.05023
 1.68000	 1.04410
 1.70000	 1.04226
 1.72000	 1.00555
 1.74000	 1.06163
 1.76000	 1.06072
 1.78000	 1.04683
 1.80000	 1.01026
 1.82000	 0.96284
 1.84000	 1.02374
 1.86000	 1.02430
 1.88000	 1.00966
 1.90000	 1.00057
 1.92000	 1.01610
 1.94000	 1.01838
 1.96000	 1.04787
 1.98000	 1.00540
 2.00000	 0.95742
 2.02000	 1.09091
 2.04000	 0.99419
 2.06000	 1.01746
 2.08000	 0.98434
 2.10000	 1.03123
 2.12000	 1.05544
 2.14000	 1.03445
 2.16000	 1.02004
 2.18000	 1.03085
 2.20000	 0.98200
 2.22000	 1.00854
 2.24000	 0.99619
 2.26000	 0.99628
 2.28000	 1.01775
 2.30000	 1.01952
 2.32000	 1.00432
 2.34000	 0.99064
 2.36000	 1.00517
 2.38000	 0.99274
 2.40000	 1.03347
 2.42000	 1.00000
 2.44000	 0.98837
 2.46000	 0.99291
 2.48000	 0.98960
 2.50000	 1.01959
 2.52000	 1.01179
 2.54000	 1.03013
 2.56000	 1.04872
 2.58000	 0.96854
 2.60000	 0.98865
 2.62000	 1.01754
 2.64000	 0.98523
 2.66000	 1.01001
 2.68000	 0.97681
